vehicle_id,greedy_dist,greedy_time,greedy_fuel,greedy_co2,greedy_cong,greedy_cost,greedy_exec_time,aco_dist,aco_time,aco_fuel,aco_co2,aco_cong,aco_cost,aco_exec_time,deep_aco_dist,deep_aco_time,deep_aco_fuel,deep_aco_co2,deep_aco_cong,deep_aco_cost,deep_aco_exec_time
vehicle_001,332.7081342943882,18628.933746808747,100.53749772832971,261397.49409365724,1.0505555555555557,851.0758823101503,0.01903820037841797,208.02961600412385,13019.144607843136,60.99225650452958,158579.86691177695,0.9718518518518521,526.3258461030244,0.6325702667236328,218.10947171628118,13381.093529229056,64.14404002665125,166774.5040692933,0.8645833333333334,551.1924756076567,0.5637655258178711
vehicle_002,227.93175239388876,13131.486203747232,68.66323528632927,178524.4117444561,0.8753472222222222,583.6490361043537,0.011339902877807617,210.82268920868412,12573.339946606347,62.44373412169106,162353.70871639674,0.9192810457516342,535.7267647042686,0.6738512516021729,215.2689098151082,12243.476546865013,65.33096048915411,169860.49727180065,0.9638888888888889,554.9635668572301,0.5934484004974365
vehicle_003,192.65625641055993,10519.133263142285,16.79933156490252,38638.462599275794,1.0961904761904762,290.53680045896124,0.02340388298034668,191.73887722269765,10639.508263142285,16.641591939402968,38275.66146062682,1.0870370370370372,288.77262625206686,0.5915758609771729,191.73887722269765,10639.508263142285,16.641591939402968,38275.66146062682,1.0870370370370372,288.77262625206686,0.5388245582580566
vehicle_004,330.4054524183166,16503.05989417989,29.632471264435093,68154.6839082007,1.0389705882352942,493.54169792678385,0.017405271530151367,228.37822584873547,12762.775487033234,19.73956563146094,45401.00095236016,0.9794117647058824,340.4153870661638,0.7102694511413574,234.78788520833217,12981.4421536999,20.366104179633872,46842.03961315791,0.993030303030303,350.15466529061007,0.6056106090545654
vehicle_005,186.51734098285982,10873.280594549355,15.365834668629342,35341.419737847486,0.9751937984496123,276.1188080312108,0.018354177474975586,155.7030737878571,9899.403357426885,12.919968988309229,29715.92867311122,1.067543859649123,233.72819159184638,0.5820908546447754,155.7030737878571,9899.403357426885,12.919968988309229,29715.92867311122,1.067543859649123,233.72819159184638,0.5495882034301758
vehicle_006,259.4674340587751,14742.057092947418,21.291560158601524,48970.5883647835,1.110204081632653,381.12229152726127,0.015271425247192383,205.98913051170067,12340.458443205996,16.713318147729222,38440.63173977721,1.073015873015873,303.7137851036183,0.6607565879821777,205.98913051170067,12340.458443205996,16.713318147729222,38440.63173977721,1.073015873015873,303.7137851036183,0.6069416999816895
vehicle_007,208.86705087918114,10898.459942590569,19.12916161080391,43997.071704849,0.9314814814814815,316.8550237320684,0.01803302764892578,187.4883171020593,9997.998076923077,16.589335377225296,38155.471367618185,0.8910852713178293,282.12306838939827,0.6237607002258301,191.1708904986698,9965.955143166693,17.337396291701136,39876.01147091261,0.9043650793650793,289.6698436239281,0.5596005916595459
vehicle_008,232.18167795708635,12521.213778399124,73.83096716684283,191960.51463379138,1.1255319148936174,616.0699478786809,0.017467498779296875,228.20701604368986,12269.774889510236,72.72565778144295,189086.71023175158,1.0097826086956523,605.3414018405028,0.6283419132232666,234.84502355249768,12503.511409886409,75.19595802091537,195509.49085437992,1.0829787234042554,625.1277985049744,0.5600903034210205
vehicle_009,259.43553364884957,14323.936897443893,79.98920004024544,207971.92010463812,1.1183673469387754,674.5440786798656,0.01684737205505371,203.01977805675622,11954.515202499026,60.35927059073744,156934.10353591733,1.0177777777777774,518.3146074555821,0.6032350063323975,203.01977805675622,11954.515202499026,60.35927059073744,156934.10353591733,1.0177777777777774,518.3146074555821,0.5566353797912598
vehicle_010,347.3490164850687,18001.65862201575,30.551528914621024,70268.51650362833,1.01005291005291,515.2076508870407,0.016458988189697266,251.63029158247758,13751.359521867022,22.16742103601058,50985.06838282433,1.03,376.58721885193796,0.663398027420044,251.63029158247758,13751.359521867022,22.16742103601058,50985.06838282433,1.03,376.58721885193796,0.5877454280853271
vehicle_011,276.491976715389,14301.051220979689,24.86898309151187,57198.66111047729,1.0264705882352942,415.0741122833512,0.020716428756713867,223.7961159500866,12548.44632245156,19.272808764237137,44327.46015774542,0.9357638888888888,333.0034781941755,0.6037297248840332,223.7961159500866,12548.44632245156,19.272808764237137,44327.46015774542,0.9357638888888888,333.0034781941755,0.5617473125457764
vehicle_012,353.64840214796766,18317.546766447533,31.986229342771665,73568.32748837481,1.0946236559139786,529.6139928560901,0.017382144927978516,232.50991175897263,12603.020902245236,20.398746186560764,46917.11622908976,1.05,348.504481831289,0.6045174598693848,232.50991175897263,12603.020902245236,20.398746186560764,46917.11622908976,1.05,348.504481831289,0.5600399971008301
vehicle_013,172.71875025280227,9557.896017316016,15.549631050435668,35764.15141600204,1.036190476190476,263.48378138280646,0.008610725402832031,172.71875025280227,9557.896017316016,15.549631050435668,35764.15141600204,1.036190476190476,263.48378138280646,0.6538779735565186,172.71875025280227,9557.896017316016,15.549631050435668,35764.15141600204,1.036190476190476,263.48378138280646,0.5843098163604736
